concept,lang1,form1,ipa1,lang2,form2,ipa2,label
653_one,ukr,один,ɔdɪn,ita,uno,uno,0
323_broom,pol,miotła,miɔtwa,rus,метла,mʲɪtɫaˑ,1
250_help__195_child,ces,pomoc,pomot͡s,spa,niño,niɲo,0
29_palm,spa,palma,palma,ita,palma,palma,1
944_kill,rus,убить,ubʲiˑtʲ,spa,matar,mataɾ,0
949_hunt__267_place,fra,chasser,ʃaˈse,ukr,місце,mit͡sːɛ,0
17_neck,pol,szyja,ʂɨja,fra,cou,ku,0
966_sew,pol,szyć,ʂɨt͡ɕ,rus,шить,ʃɨˑtʲ,1
360_honey__633_through,ukr,мед,mɛd,pol,przez,pʂɛs,0
638_that,ces,to,to,ukr,то,tɔ,1
736_drink,ces,pít,piːt,rus,пить,pʲiˑtʲ,1
728_blow__532_cheap,ces,foukat,foʊ̯kat,spa,barato,baɾato,0
621_alittle,fra,un peu,œ̃ˈpø,spa,un poco,un_poko,0
745_fallill__531_colourful,rus,заболеть,zəbɐleˑtʲ,spa,multicolor,multikoloɾ,0
258_half__201_parents,ces,půl,puːl,ukr,батьки,bɑtʲkɪ,0
977_puton__456_month,pol,włożyć,vwɔʐɨt͡ɕ,spa,mes,mes,0
399_bridge__514_clean,rus,мост,mɔˑst,rus,чистый,t͡ʃʲiˑstɨj,0
708_sink,ces,topit se,topɪt_sɛ,ukr,тонути,tɔnutɪ,0
393_health__778_enter,rus,здоровье,zdɐrɔˑvʲɪ,pol,nastąpić,nastɔmpit͡ɕ,0
751_perish,pol,zginąć,zɡinɔnt͡ɕ,ukr,згинути,zɦɪnutɪ,1
286_row__340_bucket,ces,řádek,r̝aːdɛk,ukr,відро,vidrɔ,0
1002_forget,ces,zapomínat,zapomiːnat,ita,dimenticare,dimentikare,0
909_guide,pol,prowadzić,pɾɔvad͡ʑit͡ɕ,ukr,вести,wɛstɪ,0
383_mirror__969_wash,pol,lustro,lustɾɔ,ukr,мити,mɪtɪ,0
604_always__466_may,spa,siempre,sjempɾe,ces,květen,ɡvjɛtɛn,0
920_assemble,pol,zebrać się,zɛbɾat͡ɕ_ɕɛ̃,spa,congregarse,koŋɡɾeɣaɾse,0
934_beat,pol,bić,bit͡ɕ,fra,frapper,fʁaˈpe,0
343_sack__972_sweep,ces,pytel,pɪtɛl,spa,barrer,bareɾ,0
118_birch,ces,bříza,br̝iːza,rus,береза,bʲɪrʲozə,1
658_six__353_bread,ukr,шість,ʂjistʲ,spa,pan,pan,0
233_language__595_yesterday,ita,lingua,liŋɡua,ces,včera,ft͡ʃɛra,0
319_gate,rus,ворота,vɐrɔˑtə,ita,portone,portone,0
731_groan,pol,stękać,stɛŋkat͡ɕ,fra,gémir,ʒeˈmiːʁ,0
219_thought,ces,myšlenka,mɪʃlɛŋka,spa,pensamiento,pensamjento,0
360_honey,ukr,мед,mɛd,rus,мед,mʲot,1
440_arrow,ukr,стріла,strʲilɑ,rus,стрела,strʲɪɫaˑ,1
429_world__378_shoe,pol,świat,ɕfiat,pol,but,but,0
525_white__851_push,ukr,сивий,sɪwɪj,ukr,пхати,pxɑtɪ,0
625_still__971_rinse,rus,еще,jɪʃʲːo,fra,rincer,ʁɛ̃ˈse,0
414_church,ces,kostel,kostɛl,rus,церковь,t͡sɛˑrkəfʲ,0
5_tooth__293_walk,ita,dente,dente,pol,chód,xut,0
594_then__318_door,spa,entonces,entonθes,ukr,двері,dwɛrʲi,0
531_colourful,rus,пестрый,pʲostrɨj,spa,multicolor,multikoloɾ,0
940_bother__640_i,spa,importunar,impoɾtunaɾ,rus,я,jaˑ,0
407_letter__247_gift,ukr,лист,lɪst,ces,dar,dar,0
695_swing__147_wolf,ita,vibrare,vibrare,ukr,вовк,wɔwk,0
560_correct__787_try,spa,correcto,korekto,ces,zkoušet,skoʊ̯ʃɛt,0
344_cup,rus,чашка,t͡ʃaˑʃkə,fra,tasse,tɑːs,0
501_beautiful,ces,pěkný,pjɛkniː,fra,beau,bo,0
824_lay,ces,klást,klaːst,fra,placer,plaˈse,0
697_burn__112_tree,ita,bruciare,brut͡ʃare,pol,drzewo,dʐɛvɔ,0
917_unite,ces,spojit,spojɪt,rus,объединить,ɐbəjədʲinʲiˑtʲ,0
309_stove__287_boat,ita,stufa,stufa,pol,łódka,wutka,0
516_raw__333_lock,pol,surowy,suɾɔvɨ,ces,zámek,zaːmɛk,0
361_milk,spa,leche,let͡ʃe,ita,latte,latːe,1
767_creep,fra,ramper,ʁɑ̃ˈpe,ita,strisciare,striʃːare,0
133_flock,pol,trzoda,tʂɔda,ita,gregge,ɡredd͡ʒe,0
163_snake,ukr,змія,zmijɑ,spa,serpiente,seɾpjente,0
560_correct,pol,właściwy,vwaɕt͡ɕivɨ,fra,correct,kɔˈʁɛkt,0
20_back,ces,hřbet,ɦr̝bɛt,ita,schiena,skjena,0
344_cup__370_paint,ukr,чашка,ʈ͡ʂɑʂkɑ,fra,peinture,pɛ̃ˈtyːʁ,0
377_cap,rus,шапка,ʃaˑpkə,fra,casquette,kasˈkɛt,0
367_thread__155_owl,pol,nitka,nitka,ukr,сова,sɔwɑ,0
456_month,pol,miesiąc,miɛɕɔnt͡s,ukr,місяць,misʲɑt͡sʲ,1
30_finger,ukr,палець,pɑlɛt͡sʲ,rus,палец,paˑlɪt͡s,1
9_face,ukr,обличчя,ɔblɪʈʈ͡ʂjɑ,ita,viso,vizo,0
234_voice,ces,hlas,ɦlas,ita,voce,vot͡ʃe,0
662_ten__669_sixty,ita,dieci,diet͡ʃi,ita,sessanta,sesːanta,0
874_drag,fra,traîner,tʁɛˈne,spa,arrastrar,arastɾaɾ,0
186_gold,ces,zlato,zlato,spa,oro,oɾo,0
870_pour__993_think,fra,verser,vɛʁˈse,ita,pensare,penzare,0
640_i,ces,já,jaː,ita,ìo,io,0
194_woman,ces,žena,ʒɛna,fra,femme,fam,0
634_nextto__126_claw,ukr,біля,bilʲɑ,ukr,кіготь,kiɦɔtʲ,0
235_word__533_expensive,fra,mot,mo,ukr,дорогий,dɔrɔɦɪj,0
127_paw,fra,ongle,ˈɔ̃ˈɡlə,ita,unghia,uŋɡja,0
968_clean__127_paw,fra,nettoyer,nɛtwaˈje,ukr,лапа,lɑpɑ,0
115_limb,fra,branche,bʁɑː̃ʃ,ita,ramo,ramo,0
384_strap__149_swarm,ces,řemen,r̝ɛmɛn,spa,bandada,bandaða,0
975_wash,ces,mýt se,miːt_sɛ,pol,myć się,mɨt͡ɕ_ɕɛ̃,1
778_enter,ces,vstoupit,fstoʊ̯pɪt,pol,wejść,vɛjɕt͡ɕ,0
977_puton__890_preserve,ita,mettersi,metːerzi,ces,uchránit,uxraːɲɪt,0
403_way,ces,cesta,t͡sɛsta,fra,voie,vwa,0
188_coal__388_pillow,ita,carbone,karbone,ita,guanciale,ɡuant͡ʃale,0
477_thursday__331_hook,ita,giovedì,d͡ʒovedi,rus,крюк,krʲuˑk,0
966_sew,ces,šít,ʃiːt,fra,coudre,ˈkuːdʁə,0
263_gap,pol,odstęp,ɔtstɛmp,spa,distancia,distanθja,0
132_animal,spa,animal,animal,ita,bestia,bestia,0
218_spirit,pol,duch,dux,ita,mente,mente,0
189_glass,rus,стекло,stʲɪkɫɔˑ,fra,verre,vɛːʁ,0
877_throw__685_change,ita,lanciare,lant͡ʃare,ukr,мінятися,minʲɑtɪsʲɑ,0
276_end,pol,koniec,kɔniɛt͡s,fra,bout,bu,0
562_true,pol,prawdziwy,pɾavd͡ʑivɨ,spa,verdadero,beɾðaðeɾo,0
659_seven__109_flower,ukr,сім,sʲim,ukr,квітка,kvitkɑ,0
600_atfirst,spa,primero,pɾimeɾo,ita,prima,prima,1
130_nest__704_boil,ukr,гніздо,ɦnʲizdɔ,ita,bollire,bolːire,0
325_shovel,ukr,лопата,lɔpɑtɑ,ita,pala,pala,0
245_work,pol,praca,pɾat͡sa,spa,trabajo,tɾaβaxo,0
626_only,fra,ne ... que,nə_kə,spa,solamente,solamente,0
37_thigh,ces,stehno,stɛɦno,spa,muslo,muzlo,0
775_depart,ukr,від’їхати,vidjixɑtɪ,fra,partir,paʁˈtiːʁ,0
986_request__672_ninety,ukr,просити,prɔsɪtɪ,fra,quatre-vingt-dix,katʁəvɛ̃ˈdis,0
841_bow,ces,ohnout,oɦnoʊ̯t,rus,согнуть,sɐɡnuˑtʲ,1
691_stream,ukr,литися,lɪtɪsʲɑ,spa,afluir,aflwiɾ,0
201_parents,pol,rodzice,ɾɔd͡ʑit͡sɛ,spa,padres,paðɾes,0
169_fly,pol,mucha,muxa,ita,mosca,moska,1
187_silver,ukr,срібло,srʲiblɔ,spa,plata,plata,0
911_instruct__835_produce,rus,преподавать,prʲɪpədɐvaˑtʲ,rus,изготовить,jɨzɡɐtɔˑvʲitʲ,0
430_country,ces,země,zɛmɲɛ,spa,país,pais,0
820_open,spa,abrir,aβɾiɾ,ita,aprire,aprire,1
905_rock__796_beafraid,ita,cullare,kulːare,ita,avere paura,avere_paura,0
197_girl__803_hear,fra,jeune fille,ʒœn_ˈfij,ita,udire,udire,0
965_knit,ukr,в’язати,wjɑzɑtɪ,spa,hacer punto,aθeɾ_punto,0
277_hole__970_wipe,ita,buco,buko,ita,asciugare,aʃːuɡare,0
826_connect__968_clean,ukr,зв’язати,zwjɑzɑtɪ,ukr,очистити,ɔʈ͡ʂɪstɪtɪ,0
614_back,fra,de retour,dəʁəˈtuːʁ,ita,di indietro,di_indietro,0
18_nape,ukr,потилиця,pɔtɪlɪt͡sʲɑ,ita,nuca,nuka,0
580_second,ukr,другий,druɦɪj,fra,deuxième,døˈzjɛm,0
771_drive__849_hold,fra,rouler,ʁuˈle,rus,держать,dʲɪrʒaˑtʲ,0
608_hence,ces,odtud,otːut,ukr,звідси,zvidsɪ,0
609_there__856_cutoff,spa,ahí,ai,pol,odciąć,ɔtt͡ɕɔnt͡ɕ,0
413_grave,ukr,могила,mɔɦɪlɑ,fra,tombe,tɔ̃ːb,0
606_here,ces,zde,zdɛ,ces,tady,tadɪ,1
950_fish,ukr,рибалити,rɪbɑlɪtɪ,fra,pêcher,pɛˈʃe,0
133_flock__426_ware,rus,стадо,staˑdə,fra,marchandise,maʁʃɑ̃ˈdiːz,0
696_fall,pol,padać,padat͡ɕ,ita,cadere,kadere,0
219_thought__146_mouse,spa,idea,iðea,ita,topo,topo,0
839_alter__853_lick,ita,cambiare,kambiare,ukr,лизати,lɪzɑtɪ,0
405_village,ces,vesnice,vɛsɲɪt͡sɛ,rus,деревня,dʲɪrʲeˑvnʲɪ,0
980_decorate,ukr,оздобити,ɔzdɔbɪtɪ,rus,украсить,ukraˑsʲitʲ,0
452_noon__569_rich,spa,mediodía,meðjoðia,pol,bogaty,bɔɡatɨ,0
227_story,ukr,оповідання,ɔpɔvidɑnʲːɑ,fra,conte,kɔ̃ːt,0
998_understand,pol,dosłyszeć,dɔswɨʂɛt͡ɕ,fra,comprendre,kɔ̃ˈpʁɑ̃ːdʁə,0
884_add,ces,připojit,br̝ɪpojɪt,ita,aggiùngere,add͡ʒund͡ʒere,0
524_black,ces,černý,t͡ʃɛrniː,rus,черный,t͡ʃʲornɨj,1
79_frost__250_help,spa,helada,elaða,ces,pomoc,pomot͡s,0
473_december,pol,grudzień,ɡɾud͡ʑɛɲ,ukr,грудень,ɦrudɛnʲ,1
253_matter,ces,záležitost,zaːlɛʒɪtost,ita,faccenda,fatt͡ʃenda,0
971_rinse,ces,spláchnout,splaːxnoʊ̯t,ita,sciacquare,ʃakkware,0
896_destroy,pol,zniszczyć,zniʂʈ͡ʂɨt͡ɕ,spa,destrozar,destɾoθaɾ,0
423_business__348_food,ukr,заняття,zɑnʲɑtʲːɑ,pol,pokarm,pɔkaɾm,0
454_night__185_iron,pol,noc,nɔt͡s,rus,железо,ʒɪleˑzə,0
805_taste,ces,ochutnávat,oxutnaːvat,pol,kosztować,kɔʂtɔvat͡ɕ,1
120_willow,pol,wierzba,viɛʐba,fra,saule,soːl,0
379_boot,ukr,чобіт,ʈ͡ʂɔbit,rus,сапог,sɐpɔˑk,0
517_ripe,ces,zralý,zraliː,spa,maduro,maðuɾo,0
692_flow,ces,téct,tɛːt͡st,fra,couler,kuˈle,0
64_stone__619_everywhere,rus,камень,kaˑmʲɪnʲ,spa,por todas partes,poɾ_toðas_paɾtes,0
386_leash,rus,поводок,pəvɐdɔˑk,fra,laisse,lɛs,0
999_learn,ces,učit se,ut͡ʃɪt_sɛ,ukr,навчатися,nɑwʈ͡ʂɑtɪsʲɑ,0
696_fall__237_call,ita,cadere,kadere,ukr,оклик,ɔklɪk,0
587_suddenly,pol,nagle,naɡlɛ,ukr,раптом,rɑptɔm,0
326_fork,fra,fourchette,fuʁˈʃɛt,ita,forchetta,forketːa,1
750_die__54_sleep,ita,morire,morire,ita,sonno,sonːo,0
987_tell,spa,contar,kontaɾ,ita,raccontare,rakːontare,1
278_angle__615_below,pol,kąt,kɔnt,ukr,внизу,wnɪzu,0
766_seesaw__308_home,ita,fare l'altalena,fare_lˈaltalena,fra,maison,mɛˈzɔ̃,0
905_rock,ukr,качати,kɑʈ͡ʂɑtɪ,fra,bercer,bɛʁˈse,0
394_illness,ces,nemoc,nɛmot͡s,ces,choroba,xoroba,0
410_newspaper,ces,noviny,novɪnɪ,pol,dziennik,d͡ʑɛnːik,0
187_silver,ukr,срібло,srʲiblɔ,rus,серебро,sʲɪrʲɪbrɔˑ,1
454_night,fra,nuit,nɥi,ita,notte,notːe,0
887_take,ukr,взяти,wzʲɑtɪ,ita,prèndere,prɛndere,0
384_strap,rus,ремень,rʲɪmʲeˑnʲ,fra,lanière,laˈnjɛːʁ,0
411_life__410_newspaper,ita,vita,vita,spa,diario,djaɾjo,0
536_deaf,pol,głuchy,ɡwuxɨ,fra,sourd,suːʁ,0
61_wind,ukr,вітер,vitɛr,fra,vent,vɑ̃,0
818_succeed__33_toe,rus,удаться,udaˑtʲsʲɪ,spa,dedo del pie,deðo_ðel_pje,0
266_space,pol,miejsce,miɛjst͡sɛ,fra,place,plas,0
690_blow,ces,vát,vaːt,rus,дуть,duˑtʲ,0
410_newspaper,pol,gazeta,ɡazɛta,rus,газета,ɡɐzʲeˑtə,1
663_eleven,pol,jedenaście,jɛdɛnaɕt͡ɕɛ,fra,onze,ɔ̃ːz,0
895_tear,ces,roztrhnout,rostrɦnoʊ̯t,fra,déchirer,deʃiˈʁe,0
153_eagle,ces,orel,orɛl,spa,águila,aɣila,0
503_warm,ukr,теплий,tɛplɪj,spa,cálido,kaliðo,0
557_living,pol,żywy,ʐɨvɨ,spa,vivo,biβo,0
752_move,pol,poruszać się,pɔɾuʂat͡ɕ_ɕɛ̃,fra,bouger,buˈʒe,0
83_rainbow__439_bow,ces,duha,duɦa,fra,arc,aʁk,0
133_flock,pol,trzoda,tʂɔda,ukr,стадо,stɑdɔ,1
213_laughter,spa,risa,ɾisa,spa,carcajada,kaɾkaxaða,0
415_sin,rus,грех,ɡrʲeˑx,ita,peccato,pekːato,0
947_gather,ukr,зібрати,zʲibrɑtɪ,spa,coleccionar,kolekθjonaɾ,0
959_ripen,pol,dojrzeć,dɔjʐɛt͡ɕ,rus,созреть,sɐzrʲeˑtʲ,0
399_bridge,ces,most,most,rus,мост,mɔˑst,1
528_blue,pol,niebieski,niɛbiɛski,rus,синий,sʲiˑnʲij,0
613_backward,ukr,назад,nɑzɑd,rus,назад,nɐzaˑt,1
533_expensive,rus,дорогой,dərɐɡɔˑj,fra,cher,ʃɛːʁ,0
683_begin,pol,zacząć się,zaʈ͡ʂɔnt͡ɕ_ɕɛ̃,spa,principiar,pɾinθipjaɾ,0
331_hook,fra,croc,kʁo,spa,corchete,koɾt͡ʃete,0
632_under,rus,под,pɔˑt,fra,sous,su,0
865_sharpen,ces,brousit,broʊ̯sɪt,rus,точить,tɐt͡ʃʲiˑtʲ,0
62_wave__284_amount,ces,vlna,vlna,fra,quantité,kɑ̃tiˈte,0
220_memory,pol,pamięć,pamiɛnt͡ɕ,fra,mémoire,meˈmwaːʁ,0
503_warm,ces,teplý,tɛpliː,pol,ciepły,t͡ɕɛpwɨ,1
593_soon__262_stroke,spa,pronto,pɾonto,ces,čárka,t͡ʃaːrka,0
510_full__227_story,fra,plein,plɛ̃,spa,cuento,kwento,0
908_show,spa,mostrar,mostɾaɾ,ita,indicare,indikare,0
822_put,ces,postavit,postavɪt,rus,поставить,pɐstaˑvʲitʲ,1
521_sour,spa,agrio,aɣɾjo,ita,acerbo,at͡ʃerbo,0
432_king__351_corn,pol,król,kɾul,ukr,хліб,xlʲib,0
702_melt__389_scarf,ita,sciògliersi,ʃɔʎːierzi,spa,pañuelo,paɲwelo,0
640_i,ces,já,jaː,pol,ja,ja,1
368_button,pol,guzik,ɡuʑik,spa,botón,boton,0
984_chat,rus,беседовать,bʲɪsʲeˑdəvətʲ,spa,charlar,t͡ʃaɾlaɾ,0
523_dark,ces,temný,tɛmniː,ita,oscuro,oskuro,0
720_chime,pol,dzwonić,d͡zvɔnit͡ɕ,ukr,дзвонити,d͡zwɔnɪtɪ,1
670_seventy,ces,sedmdesát,sɛdmdɛsaːt,ukr,сімдесят,sʲimdɛsʲɑt,1
932_win__235_word,fra,vaincre,ˈvɛ̃ːkʁə,ukr,слово,slɔwɔ,0
304_stick,pol,kij,kij,ita,bacchetta,bakːetːa,0
189_glass__112_tree,rus,стекло,stʲɪkɫɔˑ,ita,àlbero,albero,0
998_understand,rus,услышать,usɫɨˑʃətʲ,spa,entender,entendeɾ,0
538_strong,spa,fuerte,fweɾte,ita,vigoroso,viɡorozo,0
796_beafraid,rus,бояться,bɐjaˑtʲsʲɪ,fra,avoir peur,aˈvwaːʁ_pœːʁ,0
712_dropdescend,pol,spadać,spadat͡ɕ,ita,calare,kalare,0
1_eye,ces,oko,oko,pol,oko,ɔkɔ,1
841_bow__726_bark,ita,flettere,fletːere,fra,aboyer,abwaˈje,0
490_delicatefine,pol,drobny,dɾɔbnɨ,spa,fino,fino,0
237_call,ukr,оклик,ɔklɪk,ita,chiamata,kjamata,0
211_wife,fra,femme,fam,spa,esposa,esposa,0
544_stupid,fra,sot,so,fra,bête,bɛːt,0
119_pine,ces,sosna,sosna,rus,сосна,sɐsnaˑ,1
822_put,spa,colocar,kolokaɾ,ita,porre,porːe,0
582_last__954_tieup,spa,último,ultimo,spa,atar,ataɾ,0
330_net,ces,síť,siːc,spa,red,ɾeð,0
756_tumble__530_grey,rus,упасть,upaˑstʲ,spa,gris,ɡɾis,0
442_mistake__697_burn,ukr,помилка,pɔmɪlkɑ,rus,гореть,ɡɐrʲeˑtʲ,0
859_break__85_current,ces,lomit,lomɪt,pol,nurt,nuɾt,0
313_cradle__905_rock,pol,kołyska,kɔwɨska,rus,качать,kɐt͡ʃaˑtʲ,0
938_steal,rus,украсть,ukraˑstʲ,fra,voler,vɔˈle,0
272_fringe__92_meadow,pol,krawędź,kɾavɛnt͡ɕ,ukr,луг,luɦ,0
337_pouch__630_infrontof,ukr,мішечок,miʂɛʈ͡ʂɔk,spa,delante de,delante_ðe,0
797_beafraidof,ukr,боятися,bɔjɑtɪsʲɑ,spa,temer,temeɾ,0
40_skin,fra,peau,po,spa,piel,pjel,0
93_forest,spa,bosque,boske,ita,bosco,bosko,1
378_shoe,ces,bota,bota,rus,ботинок,bɐtʲiˑnək,1
580_second,spa,segundo,seɣundo,ita,secondo,sekondo,1
515_dirty,fra,sale,sal,ita,sporco,sporko,0
625_still__834_make,spa,aún,aun,ukr,зробити,zrɔbɪtɪ,0
308_home__357_oil,ces,domov,domof,rus,масло,maˑsɫə,0
535_blind__50_hunger,rus,слепой,slɪpɔˑj,rus,голод,ɡɔˑɫət,0
308_home,spa,hogar,oɣaɾ,ita,casa,kaza,0
832_lose,pol,zgubić,zɡubit͡ɕ,rus,потерять,pətʲɪrʲaˑtʲ,0
832_lose__864_spread,fra,perdre,ˈpɛʁdʁə,ukr,намазати,nɑmɑzɑtɪ,0
200_grandmother,rus,бабушка,baˑbuʃkə,ita,nonna,nonːa,0
370_paint__486_narrow,rus,краска,kraˑskə,spa,estrecho,estɾet͡ʃo,0
736_drink,rus,пить,pʲiˑtʲ,ita,bere,bere,0
803_hear__683_begin,fra,entendre,ɑ̃ˈtɑ̃ːdʁə,fra,commencer,kɔmɑ̃ˈse,0
626_only,rus,только,tɔˑlkə,fra,ne ... que,nə_kə,0
663_eleven,ukr,одинадцять,ɔdɪnɑdt͡sʲɑtʲ,ita,ùndici,undit͡ʃi,0
152_goose,ukr,гуска,ɦuskɑ,spa,oca,oka,0
403_way,rus,дорога,dɐrɔˑɡə,ita,cammino,kamːino,0
736_drink,pol,pić,pit͡ɕ,rus,пить,pʲiˑtʲ,1
570_familiar,spa,conocido,konoθiðo,ita,conosciuto,konoʃːuto,1
90_swamp__715_rise,spa,pantano,pantano,ita,salire,salire,0
79_frost,ukr,мороз,mɔrɔz,spa,helada,elaða,0
613_backward__926_rescue,ukr,назад,nɑzɑd,rus,спасти,spɐstʲiˑ,0
574_near,ukr,близький,blɪzʲkɪj,spa,cercano,θeɾkano,0
284_amount,fra,quantité,kɑ̃tiˈte,spa,cantidad,kantiðað,1
906_cover,pol,przykryć,pʂɨkɾɨt͡ɕ,rus,накрыть,nɐkrɨˑtʲ,1
292_load,ukr,тягар,tʲɑɦɑr,spa,carga,kaɾɣa,0
827_cover,ces,pokrýt,pokriːt,spa,cubrir,kuβɾiɾ,0
537_powerful,fra,fort,fɔːʁ,ita,forte,forte,1
574_near,fra,proche,pʁɔʃ,ita,propinquo,propinkwo,0
612_forward__111_root,ukr,вперед,wpɛrɛd,ita,radice,radit͡ʃe,0
